id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	-30	88.5	50.53852	47.05336	180.6752	124	40	4.218959	1,1,1,1
2	spot	-30	88.5	112.0748	47.05336	192.3607	141	40	3.6	1,1,1,1
3	spot	-60	88.5	151.3591	41.10979	261.5746	100	40	3.6	1,1,1,1
4	spot	60	88.5	148.0004	35.16619	279.5522	100	40	3.6	1,1,1,1
5	spot	0	88.5	137.5362	36.1568	271.4622	100	64.1883	3.6	1,1,1,1
6	spot	60	88.5	160.511	31.69911	2.696629	100	47.69629	3.6	1,1,1,1
7	spot	60	88.5	93.14602	29.71791	0	100	40	3.6	1,1,1,1
8	spot	60	88.5	38.0981	30.70851	0	100	40	3.6	1,1,1,1
9	spot	-30	88.5	44.97318	39.12859	112.3602	100	40	6.401607	1,1,1,1
