ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
4	./Images/ウッドワン美術館/3.jpg	42.5,30,0.5	-1,0,0	0,1,0	0,0,-1	2.642347	-5.456998	0.2	5	none(caption)	-1:-1	3
5	./Images/ウッドワン美術館/ウッドワン美術館.jpg	-42.5,30,0.5	-1,0,0	0,1,0	0,0,-1	-10.72066	-3	0.2	1	Wooden_thin2	-1:-1	4
6	./Images/ウッドワン美術館/0.jpg	-34.54172,23.88,76.79915	0.7088292,0,0.7053804	0,1,0	-0.7053804,0,0.7088292	0.7729064	1.922998	0.2	6	Wooden_thin2	1:3	7
7	./Images/ウッドワン美術館/1.jpg	20.13055,23.88,95.08764	0.9976965,0,-0.06783742	0,1,0	0.06783742,0,0.9976965	0.6075107	2.143498	0.2	6	Wooden_thin2	2:3	8
11	./Images/ウッドワン美術館/2.jpg	68.25,30,60	0,0,-1	0,1,0	1,0,0	-3.577576	-3	0.2	1	Metal_Vertical2	-1:-1	12
12	./Images/ウッドワン美術館/画像2.png	-68.25,30,60	0,0,1	0,1,0	-1,0,0	-15.39643	-10.938	0.2	4	none(caption)	-1:-1	13
13	./Images/ウッドワン美術館/画像3.png	68.25,30,60	0,0,-1	0,1,0	1,0,0	14.15357	-7.8195	0.2	2	none(caption)	-1:-1	14
14	./Images/ウッドワン美術館/画像1.png	42.5,30,0.5	-1,0,0	0,1,0	0,0,-1	13.86448	-27.0975	0.2	2	none(caption)	-1:-1	15
