id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	-30	58.5	21.73964	38.28737	103.9519	100	51.74467	1.285107	1,1,1,1
2	spot	-30	58.5	49.91682	49.8896	180.3504	100	42.04255	2.556029	0.7847537,0.8894679,0.7033094,1
3	spot	-30	58.5	71.25035	51.62994	187.865	100	26.7234	1.466669	1,1,1,1
4	spot	-30	58.5	79.88628	47.56916	276.7877	100	57.87235	2.419858	0.7963889,0.8254761,0.7091268,1
5	spot	30	58.5	80.24223	45.82882	268.0207	100	57.36171	2.556029	0.9883651,0.8952856,0.7323965,1
6	spot	30	58.5	71.46917	52.21005	0	100	40	3.6	1,0.924373,0.8254761,1
7	spot	30	58.5	49.1204	49.8896	3.75731	100	23.65958	1.330497	1,1,1,1
8	spot	30	58.5	44.35281	55.69072	78.90327	100	65.53191	1.557448	1,1,1,1
