id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	-30	58.5	46.64477	51.04984	91.42759	100	49.70215	3.826949	1,1,1,1
3	spot	0	58.5	35.52703	57.43106	177.8455	100	40	3.6	1,1,1,1
4	spot	0	58.5	79.36743	62.65206	179.0979	100	51.74467	3.6	1,1,1,1
5	spot	0	58.5	65.85698	53.95039	250.4866	100	26.7234	2.329078	1,1,1,1
6	spot	30	58.5	76.83649	48.14927	245.4769	100	29.78724	1.7844	1,1,1,1
7	spot	0	58.5	54.86602	55.1106	0	100	54.29787	3.6	1,1,1,1
8	spot	30	58.5	32.18102	47.56916	82.66058	102	66.04255	1.285107	1,1,1,1
9	spot	0	58.5	73.47234	41.18793	266.7682	100	90	1.466667	1,1,1,1
