ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
2	./Images/群馬県立館林美術館/スクリーンショット 2023-09-20 185729.png	48.75,45,50	0,0,-1	0,1,0	1,0,0	-24.81031	-17.6535	0.2	1	Wooden_thin	-1:-1	1
3	./Images/群馬県立館林美術館/スクリーンショット 2023-09-20 185743.png	0,45,98.75	1,0,0	0,1,0	0,0,1	-1.627948	-18	0.2	5	Wooden_thin	-1:-1	2
4	./Images/群馬県立館林美術館/スクリーンショット 2023-09-20 185709.png	48.75,45,50	0,0,-1	0,1,0	1,0,0	18.58607	-18	0.2	2	Metal	-1:-1	3
5	./Images/群馬県立館林美術館/群馬県立館林美術館.jpg	-48.75,45,50	0,0,1	0,1,0	-1,0,0	-4.270043	-17.811	0.2	2	Wooden_thin2	-1:-1	4
6	./Images/群馬県立館林美術館/群馬県立館林美術館_.jpg	-48.75,45,50	0,0,1	0,1,0	-1,0,0	-30.2083	-18	0.2	1	Wooden_thin2	-1:-1	5
7	./Images/群馬県立館林美術館/wrk_0_auth.png	48.75,45,50	0,0,-1	0,1,0	1,0,0	38.08791	-24.55199	0.2	1	Wooden_thin2	-1:-1	6
8	./Images/群馬県立館林美術館/wrk_1_auth.png	48.75,45,50	0,0,-1	0,1,0	1,0,0	-12.1851	-23.70149	0.2	1	Wooden_thin2	-1:-1	7
9	./Images/群馬県立館林美術館/wrk_2_auth.png	0,45,98.75	1,0,0	0,1,0	0,0,1	31.63922	-24.42599	0.2	1	Wooden_thin2	-1:-1	8
