id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		-1.480597,8.132845,32.26484	0,0,0.9999766		3.02E+00
2	3	1		-2.255867,8.052004,69.55274	-0.02879485,0,0.9995757		3.322495
3	4	2		19.8518,6.800867,74.17622	0.04187409,0,0.9991133		10.3725
4	5	3		18.13687,8.728963,55.2796	0.9872658,0,0.1590191		0.9224957
5	6	4		30.05492,8.012123,58.1356	0.9992195,0,-0.03925941		3.472495
6	7	5		31.8195,7.343286,47.32961	0.9942353,0,-0.1071308		6.322496
7	8	6		10.67362,8.215025,38.68275	-0.9557835,0,-0.2940386		2.722495
8	-1	7		-5.407433,7.343286,13.14094	0.4632897,0,0.886196		6.322495
